Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Myles Gaskin,RB,MIA,4,6,,Stephen,Jono
Robert Woods,WR,LAR,4,5,True,Jono,
Chris Godwin,WR,TB,4,4,,Eric,Eric
Darren Waller,TE,LV,4,3,True,Chris,Chris
Amari Cooper,WR,DAL,4,2,,Mike,Mike
Lamar Jackson,QB,BAL,4,1,,Rhodes,Rhodes
Kyle Pitts,TE,ATL,5,1,,Rhodes,Rhodes
Damien Harris,RB,NE,5,2,,Mike,Mike
Cooper Kupp,WR,LAR,5,3,,Chris,Chris
Dak Prescott,QB,DAL,5,4,,Eric,Eric
Russell Wilson,QB,SEA,5,5,,Jono,Jono
Darrell Henderson,RB,LAR,5,6,,Stephen,Stephen
Tyler Lockett,WR,SEA,5,7,,David,David
Melvin Gordon,RB,DEN,5,8,,Pat,Pat
Michael Thomas,WR,NO,5,9,,Pat,
D.J. Moore,WR,CAR,5,10,,Damon,Damon
Chase Claypool,WR,PIT,5,11,,Justin,Justin
Mark Andrews,TE,BAL,5,12,,Greg,Greg
Tee Higgins,WR,CIN,6,12,,Greg,Greg
Javonte Williams,RB,DEN,6,11,,Justin,Justin
Diontae Johnson,WR,PIT,6,10,,Damon,Damon
Trey Sermon,RB,SF,6,9,,Chuck,
Aaron Rodgers,QB,GB,6,8,,Pat,Pat
Chase Edmonds,RB,ARI,6,7,,David,Chuck
D.J. Chark,WR,JAX,6,6,,Stephen,
Ronald Jones,RB,TB,6,5,,Jono,Justin
T.J. Hockenson,TE,DET,6,4,,Eric,Eric
Ja'Marr Chase,WR,CIN,6,3,,Chris,Chris
Odell Beckham,WR,CLE,6,2,,Pat,Pat
JuJu Smith-Schuster,WR,PIT,6,1,,Rhodes,
Courtland Sutton,WR,DEN,7,1,,Rhodes,Rhodes
Tom Brady,QB,TB,7,2,,Mike,Mike
Dallas Goedert,TE,PHI,7,3,,Chris,Chris
Deebo Samuel,WR,SF,7,4,,Eric,Eric
Leonard Fournette,RB,TB,7,5,,Pat,Jono
DeVonta Smith,WR,PHI,7,6,,Stephen,Chuck
Robert Tonyan,TE,GB,7,7,,David,
Logan Thomas,TE,WAS,7,8,,Pat,
Justin Herbert,QB,LAC,7,9,,Chuck,Chuck
Kenny Golladay,WR,NYG,7,10,,Damon,
Robby Anderson,WR,CAR,7,11,,Justin,
Mike Williams,WR,LAC,7,12,,Greg,Greg
Kenyan Drake,RB,LV,8,12,,Greg,
Laviska Shenault,WR,JAX,8,11,,Justin,
Brandin Cooks,WR,HOU,8,10,,Damon,Damon
Michael Carter,RB,NYJ,8,9,,Chuck,Greg
David Johnson,RB,HOU,8,8,,Pat,Eric
Corey Davis,WR,NYJ,8,7,,David,
Rob Gronkowski,TE,TB,8,6,,Stephen,Stephen
Tyler Higbee,TE,LAR,8,5,,Jono,Jono
James Conner,RB,ARI,8,4,,Eric,Eric
Zack Moss,RB,BUF,8,3,,Chris,David
Tony Pollard,RB,DAL,8,2,,Mike,Mike
Devin Singletary,RB,BUF,8,1,,Rhodes,Rhodes
Phillip Lindsay,RB,HOU,9,1,,Rhodes,
Antonio Brown,WR,TB,9,2,,Mike,Mike
Tyler Boyd,WR,CIN,9,3,,Chris,
Noah Fant,TE,DEN,9,4,,Eric,Eric
Jaylen Waddle,WR,MIA,9,5,,Jono,Jono
Nyheim Hines,RB,IND,9,6,,Stephen,Stephen
Jamaal Williams,RB,DET,9,7,,David,David
Jerry Jeudy,WR,DEN,9,8,True,Pat,Pat
Antonio Gibson,RB,WAS,9,9,True,Chuck,Chuck
Michael Pittman,WR,IND,9,10,,Damon,Damon
Darnell Mooney,WR,CHI,9,11,,Justin,Rhodes
Marquise Brown,WR,BAL,9,12,,Greg,Greg
A.J. Dillon,RB,GB,10,12,,Greg,Greg
Marquez Callaway,WR,NO,10,11,,Justin,
Will Fuller,WR,MIA,10,10,,Damon,
Chuba Hubbard,RB,CAR,10,9,,Chuck,Rhodes
Alexander Mattison,RB,MIN,10,8,,Mike,Mike
Jarvis Landry,WR,CLE,10,7,,David,David
Latavius Murray,RB,NO,10,6,,Stephen,Chris
Marvin Jones,WR,JAX,10,5,,Jono,Jono
Mike Davis,RB,ATL,10,4,True,Eric,Eric
Rashaad Penny,RB,SEA,10,3,,Chris,Chris
Washington Football Team,DEF,WAS,10,2,,Mike,
Los Angeles Rams,DEF,LAR,10,1,,Rhodes,Rhodes
Justin Jefferson,WR,MIN,11,1,True,Rhodes,Rhodes
Mike Gesicki,TE,MIA,11,2,,Mike,Mike
Henry Ruggs,WR,LV,11,3,,Chris,
Baltimore Ravens,DEF,BAL,11,4,,Eric,Eric
Tevin Coleman,RB,NYJ,11,5,,Jono,
Tampa Bay Buccaneers,DEF,TB,11,6,,Stephen,Stephen
Jameis Winston,QB,NO,11,7,,David,
Rhamondre Stevenson,RB,NE,11,8,,Chuck,Stephen
Curtis Samuel,WR,WAS,11,9,,Chuck,
Matthew Stafford,QB,LAR,11,10,,Damon,Damon
DeVante Parker,WR,MIA,11,11,,Justin,Jono
Mecole Hardman,WR,KC,11,12,,Greg,Eric
Joe Burrow,QB,CIN,12,12,,Greg,Greg
San Francisco 49ers,DEF,SF,12,11,,Justin,Pat
Denver Broncos,DEF,DEN,12,10,,Damon,
Jakobi Meyers,WR,NE,12,9,,Chuck,Greg
Allen Lazard,WR,GB,12,8,,Chuck,
Justin Tucker,K,BAL,12,7,,David,David
T.Y. Hilton,WR,IND,12,6,,Stephen,
Pittsburgh Steelers,DEF,PIT,12,5,,Jono,
Michael Gallup,WR,DAL,12,4,,Eric,Jono
Buffalo Bills,DEF,BUF,12,3,,Chris,Chris
Justin Fields,QB,CHI,12,2,,Mike,Rhodes
Jared Cook,TE,LAC,12,1,,Rhodes,
Sony Michel,RB,LAR,13,1,,Rhodes,Stephen
Cole Kmet,TE,CHI,13,2,,Mike,
Miami Dolphins,DEF,MIA,13,3,,Chris,David
Elijah Moore,WR,NYJ,13,4,,Eric,Chuck
Harrison Butker,K,KC,13,5,,Jono,
Greg Zuerlein,K,DAL,13,6,,Stephen,Rhodes
Trey Lance,QB,SF,13,7,,David,Chuck
New England Patriots,DEF,NE,13,8,,Pat,Mike
Indianapolis Colts,DEF,IND,13,9,,Chuck,Chuck
Jalen Hurts,QB,PHI,13,10,,Damon,Damon
Jonnu Smith,TE,NE,13,11,,Justin,
Cleveland Browns,DEF,CLE,13,12,,Greg,
Tyler Bass,K,BUF,14,12,,Greg,Pat
Cam Akers,RB,LAR,14,11,,Justin,Justin
Amon-Ra St. Brown,WR,DET,14,10,,Damon,Stephen
Jason Sanders,K,MIA,14,9,,Chuck,
Younghoe Koo,K,ATL,14,8,,Pat,
Kansas City Chiefs,DEF,KC,14,7,,David,
Trevor Lawrence,QB,JAX,14,6,,Stephen,
Ryan Tannehill,QB,TEN,14,5,,Jono,
Jalen Reagor,WR,PHI,14,4,,Eric,
Derek Carr,QB,LV,14,3,,Chris,Chris
Jerick McKinnon,RB,KC,14,2,,Mike,
Rodrigo Blankenship,K,IND,14,1,,Rhodes,
Hunter Henry,TE,NE,15,1,,Rhodes,Jono
Giovani Bernard,RB,TB,15,2,,Mike,
Daniel Carlson,K,LV,15,3,,Chris,Chris
Robbie Gould,K,SF,15,4,,Eric,
Minnesota Vikings,DEF,MIN,15,5,,Jono,
Russell Gage,WR,ATL,15,6,,Stephen,Rhodes
Nelson Agholor,WR,NE,15,7,,David,
Keith Towbridge,TE,,15,8,,Pat,
Tim Tebow,TE,JAX,15,9,,Pat,
Gerald Everett,TE,SEA,15,10,,Damon,
Rondale Moore,WR,ARI,15,11,,Justin,
Kenneth Gainwell,RB,PHI,15,12,,Greg,
