Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Derrick Henry,RB,TEN,1,1,,Rhodes,Rhodes
Dalvin Cook,RB,MIN,1,2,,Mike,Mike
Nick Chubb,RB,CLE,1,3,,Chris,Chris
Ezekiel Elliott,RB,DAL,1,4,,Eric,Eric
Saquon Barkley,RB,NYG,1,5,,Jono,Pat
Tyreek Hill,WR,KC,1,6,,Stephen,Stephen
Najee Harris,RB,PIT,1,7,,David,David
DK Metcalf,WR,SEA,1,8,,Pat,Pat
Travis Kelce,TE,KC,1,9,,Chuck,Pat
Alvin Kamara,RB,NO,1,10,True,Damon,Damon
Christian McCaffrey,RB,CAR,1,11,True,Justin,Justin
Aaron Jones,RB,GB,1,12,True,Greg,Greg
Austin Ekeler,RB,LAC,2,12,,Greg,Greg
Stefon Diggs,WR,BUF,2,11,,Justin,Justin
Joe Mixon,RB,CIN,2,10,,Damon,Damon
Josh Jacobs,RB,LV,2,9,,Chuck,Rhodes
Clyde Edwards-Helaire,RB,KC,2,8,,Pat,Pat
Davante Adams,WR,GB,2,7,True,David,David
Patrick Mahomes,QB,KC,2,6,,Stephen,Stephen
DeAndre Hopkins,WR,ARI,2,5,,Jono,Jono
David Montgomery,RB,CHI,2,4,,Eric,Eric
Chris Carson,RB,SEA,2,3,,Chris,Damon
Terry McLaurin,WR,WAS,2,2,,Mike,Mike
George Kittle,TE,SF,2,1,,Rhodes,Rhodes
Keenan Allen,WR,LAC,3,1,,Rhodes,Rhodes
Calvin Ridley,WR,ATL,3,2,True,Mike,Mike
Mike Evans,WR,TB,3,3,,Chris,Chris
A.J. Brown,WR,TEN,3,4,,Eric,Eric
Kareem Hunt,RB,CLE,3,5,,Jono,Jono
Jonathan Taylor,RB,IND,3,6,True,Stephen,Stephen
CeeDee Lamb,WR,DAL,3,7,,David,David
D'Andre Swift,RB,DET,3,8,,Pat,Pat
Adam Thielen,WR,MIN,3,9,,Chuck,Chuck
Miles Sanders,RB,PHI,3,10,,Damon,Damon
Josh Allen,QB,BUF,3,11,,Justin,Justin
Allen Robinson,WR,CHI,3,12,,Pat,Pat
Kyler Murray,QB,ARI,4,12,,Greg,Greg
Gus Edwards,RB,BAL,4,11,,Justin,
James Robinson,RB,JAX,4,10,,Damon,Damon
Brandon Aiyuk,WR,SF,4,9,,Chuck,Chuck
Julio Jones,WR,TEN,4,8,,Pat,Pat
Raheem Mostert,RB,SF,4,7,,David,
