Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Odell Beckham Jr.,WR,CLE,3,11,,Pat,Pat
D.J. Moore,WR,CAR,3,12,,David,David
Cam Akers,RB,LAR,4,12,,David,Justin
Aaron Jones,RB,GB,4,11,,Pat,Greg
Russell Wilson,QB,SEA,4,10,,Greg,Greg
JuJu Smith-Schuster,WR,PIT,4,9,,Rhodes,Stephen
T.Y. Hilton,WR,IND,4,8,,Stephen,Justin
Robert Woods,WR,LAR,4,7,,Jono,Jono
Darren Waller,TE,LV,4,6,,Chris,Chris
Allen Robinson II,WR,CHI,4,5,,Damon,Damon
DJ Chark Jr.,WR,JAX,4,4,,Chuck,Rhodes
Ronald Jones II,RB,TB,4,3,,Mike,Chris
D'Andre Swift,RB,DET,4,2,,Justin,Justin
Mark Andrews,TE,BAL,4,1,,Eric,Eric
Dak Prescott,QB,DAL,5,1,,Eric,Jono
Courtland Sutton,WR,DEN,5,2,,Justin,
Chris Godwin,WR,TB,5,3,True,Mike,Mike
Deshaun Watson,QB,HOU,5,4,,Chuck,Chuck
Tyler Lockett,WR,SEA,5,5,,Damon,Damon
Stefon Diggs,WR,BUF,5,6,,Chris,Chris
Drew Brees,QB,NO,5,7,,Jono,Jono
Zach Ertz,TE,PHI,5,8,,Stephen,David
Kyler Murray,QB,ARI,5,9,,Rhodes,Rhodes
Keenan Allen,WR,LAC,5,10,,Greg,Greg
Leonard Fournette,RB,,5,11,,Pat,Mike
Terry McLaurin,WR,WAS,5,12,,David,
Kenyan Drake,RB,ARI,6,12,True,David,David
A.J. Green,WR,CIN,6,11,,Pat,Pat
Austin Ekeler,RB,LAC,6,10,True,Greg,Greg
Marlon Mack,RB,IND,6,9,,Rhodes,
Tom Brady,QB,TB,6,8,,Stephen,Eric
Jordan Howard,RB,MIA,6,7,,Jono,
Will Fuller V,WR,HOU,6,6,,Chris,
Kareem Hunt,RB,CLE,6,5,,Damon,Rhodes
Brandin Cooks,WR,HOU,6,4,,Chuck,Chuck
David Montgomery,RB,CHI,6,3,,Mike,Mike
DeVante Parker,WR,MIA,6,2,,Pat,Pat
Marquise Brown,WR,BAL,6,1,,Eric,Eric
J.K. Dobbins,RB,BAL,7,1,,Eric,Eric
Miles Sanders,RB,PHI,7,2,True,Justin,Justin
Michael Gallup,WR,DAL,7,3,,Mike,
Deebo Samuel,WR,SF,7,4,,Chuck,Chuck
Jarvis Landry,WR,CLE,7,5,,Damon,Damon
Kerryon Johnson,RB,DET,7,6,,Chris,
Julian Edelman,WR,NE,7,7,,Jono,
Tyler Boyd,WR,CIN,7,8,,Stephen,Stephen
Rob Gronkowski,TE,TB,7,9,,Rhodes,Jono
Matt Breida,RB,MIA,7,10,,Greg,
Phillip Lindsay,RB,DEN,7,11,,Pat,
Latavius Murray,RB,NO,7,12,,David,David
Zack Moss,RB,BUF,8,12,,David,David
Mecole Hardman,WR,KC,8,11,,Pat,
Hayden Hurst,TE,ATL,8,10,,Greg,David
Tevin Coleman,RB,SF,8,9,,Rhodes,
Alexander Mattison,RB,MIN,8,8,,Stephen,Stephen
San Francisco 49ers,DEF,SF,8,7,,Jono,Chuck
Marvin Jones Jr.,WR,DET,8,6,,Chris,Jono
Aaron Rodgers,QB,GB,8,5,,Damon,Damon
Austin Hooper,TE,CLE,8,4,,Chuck,David
Tyler Higbee,TE,LAR,8,3,,Mike,
Diontae Johnson,WR,PIT,8,2,,Justin,Justin
James White,RB,NE,8,1,,Eric,
CeeDee Lamb,WR,DAL,9,1,,Eric,Eric
Evan Engram,TE,NYG,9,2,,Justin,Stephen
Henry Ruggs III,WR,LV,9,3,,Mike,Chris
Jerry Jeudy,WR,DEN,9,4,,Chuck,Pat
Emmanuel Sanders,WR,NO,9,5,,Damon,Stephen
Chase Edmonds,RB,ARI,9,6,,Chris,Chris
Damien Harris,RB,NE,9,7,,Jono,Jono
John Brown,WR,BUF,9,8,,Stephen,
Christian Kirk,WR,ARI,9,9,,Rhodes,Rhodes
Hunter Henry,TE,LAC,9,10,,Greg,Greg
Antonio Gibson,RB,WAS,9,11,,Pat,Chuck
Darrell Henderson Jr.,RB,LAR,9,12,,David,Chuck
Josh Allen,QB,BUF,10,12,,David,David
Noah Fant,TE,DEN,10,11,,Pat,Chuck
Carson Wentz,QB,PHI,10,10,,Greg,
DeSean Jackson,WR,PHI,10,9,,Rhodes,
Darius Slayton,WR,NYG,10,8,,Stephen,
Sterling Shepard,WR,NYG,10,7,,Jono,
Jared Cook,TE,NO,10,6,,Chris,Rhodes
Raheem Mostert,RB,SF,10,5,True,Damon,Damon
A.J. Dillon,RB,GB,10,4,,Chuck,
Los Angeles Chargers,DEF,LAC,10,3,,Mike,Rhodes
Anthony Miller,WR,CHI,10,2,,Justin,
Baltimore Ravens,DEF,BAL,10,1,,Eric,Eric
Sony Michel,RB,NE,11,1,,Eric,
Pittsburgh Steelers,DEF,PIT,11,2,,Justin,Justin
Buffalo Bills,DEF,BUF,11,3,,Mike,Chuck
DK Metcalf,WR,SEA,11,4,True,Chuck,Chuck
Justin Jefferson,WR,MIN,11,5,,Damon,Rhodes
Chicago Bears,DEF,CHI,11,6,,Chris,Mike
Sammy Watkins,WR,KC,11,7,,Pat,Pat
Ryquell Armstead,RB,JAX,11,8,,Stephen,
Tarik Cohen,RB,CHI,11,9,,Rhodes,
Indianapolis Colts,DEF,IND,11,10,,Greg,Greg
Adrian Peterson,RB,WAS,11,11,,Pat,Pat
Chris Thompson,RB,JAX,11,12,,David,
Justin Tucker,K,BAL,12,12,,David,David
Jared Goff,QB,LAR,12,11,,Pat,Mike
Robbie Gould,K,SF,12,10,,Greg,Greg
New England Patriots,DEF,NE,12,9,,Rhodes,Rhodes
Harrison Butker,K,KC,12,8,,Stephen,Justin
Jerick McKinnon,RB,SF,12,7,,Jono,
Wil Lutz,K,NO,12,6,,Chris,Chuck
Brandon Aiyuk,WR,SF,12,5,,Damon,Damon
Ke'Shawn Vaughn,RB,TB,12,4,,Chuck,
Joe Burrow,QB,CIN,12,3,,Mike,
Greg Zuerlein,K,DAL,12,2,,Justin,
Jamison Crowder,WR,NYJ,12,1,,Eric,Eric
Younghoe Koo,K,ATL,13,1,,Eric,Eric
Darrel Williams,RB,KC,13,2,,Justin,
Philip Rivers,QB,IND,13,3,,Mike,Greg
Denver Broncos,DEF,DEN,13,4,,Chuck,
T.J. Hockenson,TE,DET,13,5,,Damon,Mike
Lamar Jackson,QB,BAL,13,6,True,Chris,Chris
Zane Gonzalez,K,ARI,13,7,,Jono,
New Orleans Saints,DEF,NO,13,8,,Stephen,Jono
Matt Prater,K,DET,13,9,,Rhodes,Damon
N'Keal Harry,WR,NE,13,10,,Greg,
Philadelphia Eagles,DEF,PHI,13,11,,Pat,
Allen Lazard,WR,GB,13,12,,David,
Mike Gesicki,TE,MIA,14,12,,David,David
Blake Jarwin,TE,DAL,14,11,,Justin,
Boston Scott,RB,PHI,14,10,,Greg,
Tony Pollard,RB,DAL,14,9,,Rhodes,Chris
Carlos Hyde,RB,SEA,14,8,,Stephen,Stephen
O.J. Howard,TE,TB,14,7,,Jono,
Hunter Renfrow,WR,LV,14,6,,Chris,Chris
Kansas City Chiefs,DEF,KC,14,5,,Damon,Damon
Matt Ryan,QB,ATL,14,4,,Chuck,
Ka'imi Fairbairn,K,HOU,14,3,,Mike,
Parris Campbell,WR,IND,14,2,,Justin,
Justin Jackson,RB,LAC,14,1,,Eric,
Preston Williams,WR,MIA,15,1,,Eric,
Lamar Miller,RB,NE,15,2,,Justin,
Bryce Love,RB,WAS,15,3,,Mike,
Bryan Edwards,WR,LV,15,4,,Chuck,
Matthew Stafford,QB,DET,15,5,,Damon,Stephen
Derek Carr,QB,LV,15,6,,Chris,
Cam Newton,QB,NE,15,7,,Jono,
Dallas Cowboys,DEF,DAL,15,8,,Stephen,
Robby Anderson,WR,CAR,15,9,,Rhodes,Rhodes
Michael Pittman Jr.,WR,IND,15,10,,Greg,
Trent Taylor,WR,SF,15,11,,Pat,
Tennessee Titans,DEF,TEN,15,12,,David,
