Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Saquon Barkley,RB,NYG,1,1,True,Eric,Eric
Christian McCaffrey,RB,CAR,1,2,,Justin,Justin
Josh Jacobs,RB,LV,1,3,,Mike,Mike
Clyde Edwards-Helaire,RB,KC,1,4,,Chuck,Chuck
Alvin Kamara,RB,NO,1,5,,Damon,Damon
Michael Thomas,WR,NO,1,6,,Chris,Chris
Nick Chubb,RB,CLE,1,7,,Jono,Jono
Dalvin Cook,RB,MIN,1,8,True,Stephen,Stephen
Ezekiel Elliott,RB,DAL,1,9,True,Rhodes,Chuck
Joe Mixon,RB,CIN,1,10,,Greg,Greg
Patrick Mahomes,QB,KC,1,11,,Justin,Justin
Tyreek Hill,WR,KC,1,12,,David,David
Davante Adams,WR,GB,2,12,,David,David
Julio Jones,WR,ATL,2,11,,Jono,Jono
DeAndre Hopkins,WR,ARI,2,10,,Greg,Greg
Travis Kelce,TE,KC,2,9,,Rhodes,Damon
Chris Carson,RB,SEA,2,8,,Stephen,Stephen
George Kittle,TE,SF,2,7,,Jono,Justin
Le'Veon Bell,RB,NYJ,2,6,,Chris,Mike
James Conner,RB,PIT,2,5,,Damon,Damon
David Johnson,RB,HOU,2,4,,Chuck,Chuck
Kenny Golladay,WR,DET,2,3,,Mike,Mike
Melvin Gordon III,RB,DEN,2,2,,Pat,Jono
Todd Gurley II,RB,ATL,2,1,,Eric,Eric
Mike Evans,WR,TB,3,1,,Eric,Eric
Adam Thielen,WR,MIN,3,2,,Justin,Justin
Calvin Ridley,WR,ATL,3,3,,Mike,Mike
Devin Singletary,RB,BUF,3,4,,Chuck,Pat
Amari Cooper,WR,DAL,3,5,,Damon,Damon
Mark Ingram II,RB,BAL,3,6,,Chris,Eric
Derrick Henry,RB,TEN,3,7,True,Jono,Jono
Jonathan Taylor,RB,IND,3,8,,Stephen,Stephen
Cooper Kupp,WR,LAR,3,9,,Rhodes,Rhodes
A.J. Brown,WR,TEN,3,10,,Greg,Greg
