Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Mark Ingram,RB,NO,13,11,,Mike,
Denver Broncos,DEF,DEN,13,12,,Justin,
Cam Akers,RB,LAR,14,12,True,Justin,Mike
Jameson Williams,WR,DET,14,11,,Mike,Mike
Rondale Moore,WR,ARI,14,10,,Greg,Greg
Jahan Dotson,WR,WAS,14,9,,Rhodes,Damon
New England Patriots,DEF,NE,14,8,,Jono,Chuck
Isaiah McKenzie,WR,BUF,14,7,,Pat,Pat
Matt Gay,K,LAR,14,6,,Eric,
Dallas Cowboys,DEF,DAL,14,5,,Chris,Chris
KaVontae Turpin,WR,DAL,14,4,,Stephen,
Ronald Jones,RB,KC,14,3,,Pat,
Jalen Tolbert,WR,DAL,14,2,,Damon,
Christian Watson,WR,GB,14,1,,David,Stephen
Mecole Hardman,WR,KC,15,1,,David,David
Tennessee Titans,DEF,TEN,15,2,,Damon,
Sammy Watkins,WR,GB,15,3,,Pat,
Matt Prater,K,ARI,15,4,,Stephen,
J.D. McKissic,RB,WAS,15,5,,Chris,
Russell Gage,WR,TB,15,6,,Eric,Eric
Los Angeles Chargers,DEF,LAC,15,7,,Pat,
Chuba Hubbard,RB,CAR,15,8,,Jono,Greg
Kenny Golladay,WR,NYG,15,9,,Rhodes,
Wan'Dale Robinson,WR,NYG,15,10,,Greg,
Green Bay Packers,DEF,GB,15,11,,Mike,Justin
Harrison Butker,K,KC,15,12,,Justin,Eric
Danny Gray,WR,SF,16,12,,Justin,
Jordan Mason,RB,SF,16,11,,Mike,Chuck
Brandon McManus,K,DEN,16,10,,Greg,
Justin Fields,QB,CHI,16,9,,Rhodes,Mike
Nick Folk,K,NE,16,8,,Jono,Justin
Robbie Gould,K,SF,16,7,,Pat,David
Pittsburgh Steelers,DEF,PIT,16,6,,Eric,
Ameer Abdullah,RB,LV,16,5,,Chris,
Marvin Jones,WR,JAX,16,4,,Stephen,
Odell Beckham,WR,,16,3,,Chuck,Chuck
Younghoe Koo,K,ATL,16,2,,Damon,
Philadelphia Eagles,DEF,PHI,16,1,,David,Stephen
