Owner,Position,Player,Round,Draft Slot
Chris,DEF,Las Vegas Raiders,,
Chris,DEF,Pittsburgh Steelers,11.0,3.0
Chris,K,Daniel Carlson,10.0,1.0
Chris,QB,Aidan O'Connell,,
Chris,QB,Jalen Hurts,2.0,1.0
Chris,RB,Aaron Jones,3.0,1.0
Chris,RB,David Montgomery,6.0,1.0
Chris,RB,AJ Dillon,8.0,1.0
Chris,RB,Chuba Hubbard,14.0,1.0
Chris,RB,Keaton Mitchell,,
Chris,TE,Evan Engram,7.0,1.0
Chris,TE,Michael Mayer,,
Chris,WR,Tre Tucker,,
Chris,WR,Davante Adams,1.0,1.0
Chris,WR,Terry McLaurin,4.0,1.0
Chris,WR,Hunter Renfrow,,
Chuck,DEF,San Francisco 49ers,9.0,5.0
Chuck,K,Matt Gay,,
Chuck,QB,Dak Prescott,10.0,4.0
Chuck,QB,Kyler Murray,16.0,5.0
Chuck,QB,Joe Burrow,6.0,2.0
Chuck,RB,Alvin Kamara,4.0,5.0
Chuck,RB,James Conner,5.0,6.0
Chuck,RB,Austin Ekeler,1.0,5.0
Chuck,RB,D'Andre Swift,4.0,2.0
Chuck,RB,Zack Moss,15.0,12.0
Chuck,TE,George Kittle,3.0,5.0
Chuck,TE,Mark Andrews,5.0,5.0
Chuck,WR,Brandin Cooks,8.0,2.0
Chuck,WR,Calvin Ridley,2.0,5.0
Chuck,WR,Michael Pittman,6.0,5.0
Chuck,WR,George Pickens,6.0,9.0
Chuck,WR,Zay Flowers,8.0,5.0
Damon,DEF,Detroit Lions,,
Damon,K,Dustin Hopkins,,
Damon,QB,Derek Carr,,
Damon,QB,Justin Herbert,5.0,7.0
Damon,QB,Anthony Richardson,11.0,7.0
Damon,RB,Miles Sanders,4.0,8.0
Damon,RB,Rhamondre Stevenson,7.0,7.0
Damon,RB,Tyler Allgeier,10.0,7.0
Damon,RB,Zamir White,,
Damon,RB,Tyjae Spears,14.0,5.0
Damon,TE,Sam LaPorta,14.0,7.0
Damon,WR,Jayden Reed,15.0,3.0
Damon,WR,Rashee Rice,13.0,7.0
Damon,WR,Jaylen Waddle,3.0,7.0
