Owner,Position,Player,Round,Draft Slot
Damon,WR,Amon-Ra St. Brown,2.0,7.0
Damon,WR,Ja'Marr Chase,1.0,7.0
Damon,WR,Josh Downs,,
David,DEF,Atlanta Falcons,,
David,DEF,Miami Dolphins,,
David,K,Harrison Butker,13.0,6.0
David,QB,Deshaun Watson,10.0,6.0
David,QB,Baker Mayfield,,
David,RB,Joe Mixon,2.0,6.0
David,RB,Nick Chubb,1.0,6.0
David,RB,Justice Hill,,
David,RB,Rachaad White,6.0,6.0
David,TE,Dalton Schultz,12.0,5.0
David,TE,Dallas Goedert,5.0,1.0
David,WR,DJ Moore,4.0,6.0
David,WR,Allen Lazard,9.0,9.0
David,WR,DK Metcalf,3.0,6.0
David,WR,Jerry Jeudy,7.0,6.0
David,WR,Elijah Moore,12.0,6.0
David,WR,Garrett Wilson,11.0,6.0
Eric,DEF,Buffalo Bills,11.0,11.0
Eric,DEF,Houston Texans,,
Eric,K,Justin Tucker,12.0,11.0
Eric,QB,Patrick Mahomes,3.0,11.0
Eric,RB,Clyde Edwards-Helaire,16.0,6.0
Eric,RB,Javonte Williams,5.0,11.0
Eric,RB,Dameon Pierce,4.0,11.0
Eric,RB,Jerome Ford,,
Eric,RB,Zach Charbonnet,7.0,10.0
Eric,TE,Kyle Pitts,6.0,11.0
Eric,TE,Jake Ferguson,,
Eric,WR,Stefon Diggs,1.0,11.0
Eric,WR,Hollywood Brown,8.0,11.0
Eric,WR,Diontae Johnson,7.0,11.0
Eric,WR,CeeDee Lamb,2.0,11.0
Eric,WR,Jaxon Smith-Njigba,9.0,7.0
Greg,DEF,Minnesota Vikings,,
Greg,DEF,Philadelphia Eagles,11.0,1.0
Greg,K,Jake Elliott,16.0,3.0
Greg,QB,Josh Allen,2.0,3.0
Greg,QB,Jordan Love,,
Greg,RB,Raheem Mostert,9.0,3.0
Greg,RB,Kareem Hunt,13.0,3.0
Greg,RB,Gus Edwards,,
Greg,RB,Kenneth Walker,3.0,3.0
Greg,RB,Bijan Robinson,1.0,3.0
Greg,TE,David Njoku,8.0,3.0
Greg,WR,Tyler Boyd,12.0,3.0
Greg,WR,Christian Kirk,6.0,3.0
Greg,WR,DeVonta Smith,7.0,3.0
Greg,WR,Joshua Palmer,,
Greg,WR,Drake London,4.0,3.0
Jono,DEF,Baltimore Ravens,13.0,9.0
Jono,DEF,Seattle Seahawks,16.0,9.0
Jono,K,Matt Prater,,
Jono,QB,Tua Tagovailoa,8.0,9.0
Jono,QB,Sam Howell,,
Jono,RB,Jerick McKinnon,11.0,9.0
Jono,RB,Derrick Henry,1.0,9.0
Jono,RB,Christian McCaffrey,1.0,2.0
Jono,RB,Najee Harris,2.0,2.0
Jono,RB,Isiah Pacheco,5.0,9.0
Jono,TE,Dalton Kincaid,8.0,6.0
Jono,TE,Cole Kmet,12.0,2.0
Jono,WR,Tyreek Hill,2.0,9.0
Jono,WR,Zay Jones,16.0,10.0
Jono,WR,Curtis Samuel,,
Jono,WR,Rashid Shaheed,13.0,1.0
Justin,DEF,Chicago Bears,,
Justin,DEF,New York Jets,11.0,2.0
Justin,K,Brandon Aubrey,,
Justin,QB,Nick Mullens,,
Justin,RB,Tony Pollard,1.0,12.0
Justin,RB,Jonathan Taylor,3.0,12.0
Justin,RB,Rico Dowdle,,
Justin,RB,Breece Hall,4.0,12.0
Justin,RB,Ty Chandler,,
Justin,TE,Travis Kelce,2.0,12.0
Justin,WR,Mike Evans,5.0,12.0
Justin,WR,Demarcus Robinson,,
Justin,WR,A.J. Brown,2.0,8.0
Justin,WR,Gabe Davis,8.0,12.0
Justin,WR,Jahan Dotson,7.0,12.0
Justin,WR,Christian Watson,6.0,12.0
Mike,DEF,Indianapolis Colts,,
Mike,DEF,New Orleans Saints,12.0,8.0
Mike,K,Evan McPherson,11.0,8.0
Mike,QB,Justin Fields,16.0,8.0
Mike,RB,Jeff Wilson,,
Mike,RB,Alexander Mattison,3.0,8.0
Mike,RB,Antonio Gibson,8.0,7.0
Mike,RB,Chase Brown,16.0,11.0
Mike,RB,De'Von Achane,10.0,12.0
Mike,TE,Darren Waller,4.0,4.0
Mike,TE,Cade Otton,,
Mike,WR,Odell Beckham,9.0,10.0
Mike,WR,Tyler Lockett,5.0,8.0
Mike,WR,Chris Godwin,6.0,8.0
Mike,WR,Noah Brown,,
Mike,WR,Courtland Sutton,9.0,12.0
Mike,WR,Tank Dell,,
Pat,DEF,Cleveland Browns,,
Pat,DEF,Denver Broncos,13.0,12.0
Pat,K,Tyler Bass,14.0,10.0
Pat,QB,Lamar Jackson,5.0,4.0
Pat,QB,Brock Purdy,13.0,4.0
Pat,RB,Ezekiel Elliott,9.0,4.0
Pat,RB,Saquon Barkley,1.0,8.0
Pat,RB,Travis Etienne,2.0,4.0
Pat,RB,James Cook,6.0,4.0
Pat,RB,Brian Robinson,7.0,4.0
Pat,TE,Taysom Hill,14.0,3.0
Pat,TE,Isaiah Likely,,
Pat,WR,Cooper Kupp,3.0,9.0
Pat,WR,Deebo Samuel,3.0,4.0
Pat,WR,Justin Jefferson,1.0,4.0
Pat,WR,Chris Olave,8.0,4.0
Rhodes,DEF,Jacksonville Jaguars,15.0,7.0
Rhodes,K,Jason Myers,14.0,9.0
Rhodes,QB,Jared Goff,14.0,12.0
Rhodes,QB,Matthew Stafford,,
Rhodes,RB,Devin Singletary,15.0,11.0
Rhodes,RB,Khalil Herbert,7.0,5.0
Rhodes,RB,Kyren Williams,,
Rhodes,RB,Jaylen Warren,10.0,9.0
Rhodes,TE,Hunter Henry,,
Rhodes,TE,Trey McBride,,
Rhodes,WR,Amari Cooper,4.0,9.0
Rhodes,WR,Jakobi Meyers,12.0,9.0
Rhodes,WR,Tee Higgins,3.0,2.0
Rhodes,WR,Nico Collins,,
Rhodes,WR,Jameson Williams,12.0,12.0
Rhodes,WR,Jordan Addison,7.0,2.0
Stephen,DEF,Dallas Cowboys,11.0,10.0
Stephen,DEF,Kansas City Chiefs,,
Stephen,K,Jake Moody,,
Stephen,K,Jason Sanders,16.0,12.0
Stephen,QB,Geno Smith,13.0,10.0
Stephen,QB,Joe Flacco,,
Stephen,QB,C.J. Stroud,,
Stephen,RB,Josh Jacobs,1.0,10.0
Stephen,RB,Kenneth Gainwell,15.0,10.0
Stephen,RB,Jahmyr Gibbs,2.0,10.0
Stephen,TE,T.J. Hockenson,6.0,10.0
Stephen,TE,Chigoziem Okonkwo,11.0,4.0
Stephen,WR,Keenan Allen,3.0,10.0
Stephen,WR,Adam Thielen,12.0,10.0
Stephen,WR,Brandon Aiyuk,4.0,10.0
Stephen,WR,K.J. Osborn,,
Stephen,WR,Puka Nacua,,
