Owner,Position,Player,Round,Draft Slot
Chris,DEF,Cleveland Browns,,
Chris,DEF,Dallas Cowboys,14.0,5.0
Chris,FB,Jakob Johnson,,
Chris,K,Daniel Carlson,11.0,5.0
Chris,QB,Deshaun Watson,,
Chris,QB,Jarrett Stidham,,
Chris,RB,Ezekiel Elliott,2.0,5.0
Chris,RB,Josh Jacobs,3.0,5.0
Chris,RB,Tony Pollard,6.0,5.0
Chris,RB,Michael Carter,9.0,5.0
Chris,TE,Dalton Schultz,6.0,1.0
Chris,TE,Dallas Goedert,5.0,11.0
Chris,WR,Marquise Goodwin,,
Chris,WR,Davante Adams,1.0,5.0
Chris,WR,Cooper Kupp,5.0,5.0
Chris,WR,Christian Kirk,8.0,5.0
Chris,WR,Hunter Renfrow,7.0,3.0
Chuck,DEF,New England Patriots,14.0,8.0
Chuck,K,Justin Tucker,10.0,3.0
Chuck,QB,Trevor Lawrence,13.0,5.0
Chuck,RB,Dalvin Cook,1.0,3.0
Chuck,RB,Damien Harris,5.0,9.0
Chuck,RB,AJ Dillon,4.0,7.0
Chuck,RB,Brian Robinson,11.0,3.0
Chuck,RB,Jordan Mason,16.0,11.0
Chuck,TE,Darren Waller,4.0,3.0
Chuck,TE,Dawson Knox,7.0,5.0
Chuck,WR,Keenan Allen,2.0,3.0
Chuck,WR,Odell Beckham,16.0,3.0
Chuck,WR,Zay Jones,,
Chuck,WR,Darius Slayton,,
Chuck,WR,Tee Higgins,3.0,3.0
Chuck,WR,Gabe Davis,6.0,3.0
Damon,DEF,Kansas City Chiefs,,
Damon,K,Jason Sanders,,
Damon,QB,Lamar Jackson,4.0,10.0
Damon,QB,Daniel Jones,,
Damon,QB,Jalen Hurts,6.0,2.0
Damon,RB,Christian McCaffrey,1.0,2.0
Damon,RB,David Montgomery,3.0,2.0
Damon,RB,Travis Etienne,10.0,2.0
Damon,RB,Rhamondre Stevenson,7.0,2.0
Damon,TE,Tyler Higbee,,
Damon,TE,David Njoku,,
Damon,WR,Mike Evans,2.0,2.0
Damon,WR,Diontae Johnson,5.0,2.0
Damon,WR,Jaylen Waddle,4.0,2.0
Damon,WR,Jahan Dotson,14.0,9.0
Damon,WR,Treylon Burks,8.0,2.0
David,DEF,Miami Dolphins,,
David,DEF,San Francisco 49ers,9.0,1.0
David,K,Robbie Gould,16.0,7.0
David,QB,Dak Prescott,12.0,7.0
David,QB,Aaron Rodgers,7.0,1.0
David,RB,Derrick Henry,1.0,1.0
David,RB,Devin Singletary,8.0,1.0
David,RB,Clyde Edwards-Helaire,4.0,4.0
David,RB,Dameon Pierce,4.0,1.0
David,RB,Rachaad White,12.0,3.0
David,TE,Cole Kmet,12.0,9.0
David,WR,DJ Moore,5.0,1.0
David,WR,Mecole Hardman,15.0,1.0
David,WR,CeeDee Lamb,3.0,1.0
David,WR,Michael Pittman,2.0,1.0
David,WR,Amon-Ra St. Brown,5.0,3.0
David,WR,Garrett Wilson,11.0,1.0
Eric,DEF,Buffalo Bills,9.0,6.0
Eric,K,Harrison Butker,15.0,12.0
Eric,QB,Tom Brady,13.0,6.0
Eric,QB,Patrick Mahomes,3.0,6.0
Eric,RB,Gus Edwards,,
Eric,RB,Travis Homer,,
Eric,RB,J.K. Dobbins,4.0,6.0
Eric,RB,Antonio Gibson,4.0,5.0
Eric,RB,Najee Harris,1.0,6.0
Eric,RB,Kenneth Walker,8.0,6.0
Eric,RB,Isiah Pacheco,12.0,2.0
Eric,TE,Gerald Everett,,
Eric,WR,Tyler Lockett,9.0,8.0
Eric,WR,Russell Gage,15.0,6.0
Eric,WR,Deebo Samuel,7.0,6.0
Eric,WR,K.J. Osborn,,
Greg,DEF,Detroit Lions,,
Greg,DEF,Washington Commanders,,
Greg,K,Jake Elliott,,
Greg,K,Cameron Dicker,,
Greg,QB,Kirk Cousins,,
Greg,RB,Kareem Hunt,8.0,10.0
Greg,RB,James Conner,2.0,10.0
Greg,RB,Austin Ekeler,1.0,10.0
Greg,RB,Mike Boone,,
Greg,RB,Miles Sanders,6.0,10.0
Greg,RB,Chuba Hubbard,15.0,8.0
Greg,TE,Taysom Hill,,
Greg,WR,Tyler Boyd,12.0,10.0
Greg,WR,Terry McLaurin,3.0,10.0
Greg,WR,DeVonta Smith,7.0,10.0
Greg,WR,Rondale Moore,14.0,10.0
Jono,DEF,Jacksonville Jaguars,,
Jono,K,Jason Myers,,
Jono,QB,Josh Allen,2.0,7.0
Jono,QB,Tua Tagovailoa,,
Jono,RB,Latavius Murray,,
Jono,RB,Cordarrelle Patterson,6.0,7.0
Jono,RB,Leonard Fournette,7.0,8.0
Jono,RB,Jamaal Williams,13.0,7.0
Jono,RB,Nick Chubb,1.0,8.0
Jono,RB,D'Andre Swift,3.0,7.0
Jono,RB,Deon Jackson,,
Jono,TE,George Kittle,4.0,8.0
Jono,WR,Adam Thielen,6.0,8.0
Jono,WR,Tyreek Hill,2.0,8.0
Jono,WR,Brandon Aiyuk,7.0,7.0
Jono,WR,Romeo Doubs,12.0,12.0
Justin,DEF,Green Bay Packers,15.0,11.0
Justin,K,Nick Folk,16.0,8.0
Justin,QB,Jared Goff,,
Justin,RB,Jerick McKinnon,,
Justin,RB,Raheem Mostert,11.0,12.0
Justin,RB,D'Onta Foreman,,
Justin,RB,Pierre Strong,,
Justin,RB,Zonovan Knight,,
Justin,RB,Kyren Williams,,
Justin,RB,Breece Hall,4.0,12.0
Justin,TE,Evan Engram,,
Justin,WR,DeAndre Hopkins,8.0,12.0
Justin,WR,Amari Cooper,7.0,12.0
Justin,WR,Stefon Diggs,1.0,12.0
Justin,WR,JuJu Smith-Schuster,6.0,12.0
Justin,WR,DK Metcalf,3.0,12.0
Justin,WR,George Pickens,9.0,12.0
Mike,DEF,Carolina Panthers,,
Mike,DEF,Minnesota Vikings,,
Mike,K,Evan McPherson,12.0,11.0
Mike,QB,Justin Herbert,3.0,8.0
Mike,QB,Justin Fields,16.0,9.0
Mike,RB,Alvin Kamara,1.0,7.0
Mike,RB,Aaron Jones,1.0,11.0
Mike,RB,Cam Akers,14.0,12.0
Mike,RB,James Cook,8.0,4.0
Mike,TE,Mark Andrews,2.0,11.0
Mike,WR,Chris Godwin,5.0,7.0
Mike,WR,Mike Williams,4.0,11.0
Mike,WR,Courtland Sutton,3.0,11.0
Mike,WR,Jakobi Meyers,,
Mike,WR,Ja'Marr Chase,6.0,11.0
Mike,WR,Jameson Williams,14.0,11.0
Pat,DEF,New Orleans Saints,12.0,5.0
Pat,K,Michael Badgley,,
Pat,QB,Ryan Tannehill,,
Pat,QB,Brock Purdy,,
Pat,RB,Nyheim Hines,9.0,7.0
Pat,RB,Tyler Allgeier,11.0,7.0
Pat,RB,Jaylen Warren,,
Pat,TE,Pat Freiermuth,10.0,10.0
Pat,WR,Curtis Samuel,,
Pat,WR,Isaiah McKenzie,14.0,7.0
Pat,WR,Michael Gallup,13.0,8.0
Pat,WR,Marquez Valdes-Scantling,11.0,8.0
Pat,WR,Richie James,,
Pat,WR,Allen Lazard,8.0,11.0
Pat,WR,Drake London,10.0,7.0
Pat,WR,Chris Olave,8.0,7.0
Rhodes,DEF,Las Vegas Raiders,,
Rhodes,DEF,Tampa Bay Buccaneers,11.0,9.0
Rhodes,K,Tyler Bass,13.0,9.0
