Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Saquon Barkley,RB,NYG,1,1,,Eric,Eric
Alvin Kamara,RB,NO,1,2,,Chuck,Chuck
Christian McCaffrey,RB,CAR,1,3,,Pat,Pat
Ezekiel Elliott,RB,DAL,1,4,,David,David
David Johnson,RB,ARI,1,5,,Jono,Jono
Dalvin Cook,RB,MIN,1,6,,Stephen,Stephen
DeAndre Hopkins,WR,HOU,1,7,,Damon,Damon
Todd Gurley,RB,LAR,1,8,,Mike,Mike
Le'Veon Bell,RB,NYJ,1,9,,Justin,Justin
Michael Thomas,WR,NO,1,10,,Chris,Chris
Josh Jacobs,RB,OAK,2,10,,Chris,Chris
Julio Jones,WR,ATL,2,9,,Justin,Justin
Odell Beckham Jr,WR,CLE,2,8,,Mike,Mike
Travis Kelce,TE,KC,2,7,,Damon,Damon
Davante Adams,WR,GB,2,6,,Stephen,Stephen
Tyreek Hill,WR,KC,2,5,,Jono,Justin
Devonta Freeman,RB,ATL,2,4,,David,David
Antonio Brown,WR,OAK,2,3,,Pat,Chuck
Leonard Fournette,RB,JAX,2,2,,Chuck,Chuck
Joe Mixon,RB,CIN,2,1,True,Eric,Eric
JuJu Smith-Schuster,WR,PIT,3,1,,Eric,Eric
Mike Evans,WR,TB,3,2,,Chuck,Chuck
Amari Cooper,WR,DAL,3,3,,Pat,Pat
Adam Thielen,WR,MIN,3,4,,David,David
Kerryon Johnson,RB,DET,3,5,,Jono,Damon
Mark Ingram,RB,BAL,3,6,,Stephen,Stephen
Keenan Allen,WR,LAC,3,7,,Damon,Damon
Zach Ertz,TE,PHI,3,8,,Mike,David
Derrick Henry,RB,TEN,3,9,,Justin,Jono
Brandin Cooks,WR,LAR,3,10,,Chris,Justin
Kenny Golladay,WR,DET,4,10,,Chris,Chris
Aaron Jones,RB,GB,4,9,,Justin,Justin
Robert Woods,WR,LAR,4,8,,Mike,Justin
David Montgomery,RB,CHI,4,7,,Damon,Damon
Marlon Mack,RB,IND,4,6,,Stephen,Stephen
Stefon Diggs,WR,MIN,4,5,,Jono,Jono
Cooper Kupp,WR,LAR,4,4,,David,David
Sony Michel,RB,NE,4,3,,Pat,Pat
Julian Edelman,WR,NE,4,2,,Chuck,Chuck
T.Y. Hilton,WR,IND,4,1,,Eric,Eric
OJ Howard,TE,TB,5,1,,Eric,
Phillip Lindsay,RB,DEN,5,2,,Chuck,Chuck
Tevin Coleman,RB,SF,5,3,,Pat,Pat
Hunter Henry,TE,LAC,5,4,,David,Mike
Evan Engram,TE,NYG,5,5,,Jono,Jono
Tyler Boyd,WR,CIN,5,6,,Stephen,Chris
Melvin Gordon,RB,LAC,5,7,,Damon,Damon
Chris Godwin,WR,TB,5,8,,Mike,Mike
Allen Robinson,WR,CHI,5,9,,Justin,Justin
Duke Johnson,RB,HOU,5,10,,Chris,David
Chris Carson,RB,SEA,6,10,True,Chris,Chris
Derrius Guice,RB,WAS,6,9,,Justin,Justin
Mike Williams,WR,LAC,6,8,,Justin,Justin
Damien Williams,RB,KC,6,7,,Damon,
Vance McDonald,TE,PIT,6,6,,Stephen,
Deshaun Watson,QB,HOU,6,5,,Jono,Pat
Kenyan Drake,RB,MIA,6,4,,David,David
Calvin Ridley,WR,ATL,6,3,,Pat,
Dede Westbrook,WR,JAX,6,2,,Chuck,
Austin Ekeler,RB,LAC,6,1,,Eric,Eric
AJ Green,WR,CIN,7,1,,Eric,Eric
Miles Sanders,RB,PHI,7,2,,Justin,Justin
Alshon Jeffery,WR,PHI,7,3,,Pat,
Josh Gordon,WR,NE,7,4,,David,
James White,RB,NE,7,5,,Jono,Jono
Robby Anderson,WR,NYJ,7,6,,Stephen,
Jarvis Landry,WR,CLE,7,7,,Damon,Damon
Matt Breida,RB,SF,7,8,,Mike,Mike
LeSean McCoy,RB,KC,7,9,,Mike,Jono
Jared Cook,TE,NO,7,10,,Chris,Jono
Tyrell Williams,WR,OAK,8,10,,Chris,Chris
Sammy Watkins,WR,KC,8,9,,Justin,Pat
Devin Singletary,RB,BUF,8,8,,Mike,Mike
Aaron Rodgers,QB,GB,8,7,,Damon,Damon
Chicago Bears,DEF,CHI,8,6,,Stephen,
Curtis Samuel,WR,CAR,8,5,,Jono,
Baker Mayfield,QB,CLE,8,4,,David,Mike
Peyton Barber,RB,TB,8,3,,Pat,
Latavius Murray,RB,NO,8,2,,Chuck,Chuck
