Owner,Position,Player,Round,Draft Slot
Pat,WR,Allen Robinson,3.0,12.0
Pat,WR,Odell Beckham,6.0,2.0
Pat,WR,DK Metcalf,1.0,8.0
Pat,WR,Jerry Jeudy,9.0,8.0
Pat,WR,Julio Jones,4.0,8.0
Rhodes,DEF,Los Angeles Rams,10.0,1.0
Rhodes,DEF,Philadelphia Eagles,,
Rhodes,K,Greg Zuerlein,13.0,6.0
Rhodes,QB,Lamar Jackson,4.0,1.0
Rhodes,QB,Justin Fields,12.0,2.0
Rhodes,RB,Derrick Henry,1.0,1.0
Rhodes,RB,Josh Jacobs,2.0,9.0
Rhodes,RB,Devin Singletary,8.0,1.0
Rhodes,RB,Chuba Hubbard,10.0,9.0
Rhodes,TE,George Kittle,2.0,1.0
Rhodes,TE,Kyle Pitts,5.0,1.0
Rhodes,WR,Keenan Allen,3.0,1.0
Rhodes,WR,Courtland Sutton,7.0,1.0
Rhodes,WR,Russell Gage,15.0,6.0
Rhodes,WR,Justin Jefferson,11.0,1.0
Rhodes,WR,Darnell Mooney,9.0,11.0
Stephen,DEF,Dallas Cowboys,,
Stephen,DEF,Tampa Bay Buccaneers,11.0,6.0
Stephen,K,Matt Gay,,
Stephen,QB,Patrick Mahomes,2.0,6.0
Stephen,RB,Cordarrelle Patterson,,
Stephen,RB,Sony Michel,13.0,1.0
Stephen,RB,Boston Scott,,
Stephen,RB,Justin Jackson,,
Stephen,RB,Nyheim Hines,9.0,6.0
Stephen,RB,Darrell Henderson,5.0,6.0
Stephen,RB,Jonathan Taylor,3.0,6.0
Stephen,RB,Rhamondre Stevenson,11.0,8.0
Stephen,TE,Rob Gronkowski,8.0,6.0
Stephen,WR,Tyreek Hill,1.0,6.0
Stephen,WR,Christian Kirk,,
Stephen,WR,Amon-Ra St. Brown,14.0,10.0
