Owner,Position,Player,Round,Draft Slot
Chris,DEF,Los Angeles Rams,,
Chris,DEF,Miami Dolphins,,
Chris,K,Matt Gay,,
Chris,QB,Marcus Mariota,,
Chris,QB,Lamar Jackson,13.0,6.0
Chris,RB,Devontae Booker,,
Chris,RB,Jamaal Williams,,
Chris,RB,Chase Edmonds,9.0,6.0
Chris,RB,Ronald Jones,4.0,3.0
Chris,RB,Tony Pollard,14.0,9.0
Chris,TE,Darren Waller,4.0,6.0
Chris,TE,Foster Moreau,,
Chris,WR,Stefon Diggs,5.0,6.0
Chris,WR,Michael Thomas,1.0,6.0
Chris,WR,Hunter Renfrow,14.0,6.0
Chris,WR,Henry Ruggs,9.0,3.0
Chuck,DEF,Buffalo Bills,11.0,3.0
Chuck,DEF,San Francisco 49ers,8.0,7.0
Chuck,K,Wil Lutz,12.0,6.0
Chuck,QB,Deshaun Watson,5.0,4.0
Chuck,QB,Jalen Hurts,,
Chuck,RB,David Johnson,2.0,4.0
Chuck,RB,Ezekiel Elliott,1.0,9.0
Chuck,RB,Darrell Henderson,9.0,12.0
Chuck,RB,Clyde Edwards-Helaire,1.0,4.0
Chuck,RB,Antonio Gibson,9.0,11.0
Chuck,TE,Jonnu Smith,,
Chuck,TE,Noah Fant,10.0,11.0
Chuck,WR,Brandin Cooks,6.0,4.0
Chuck,WR,DK Metcalf,11.0,4.0
Chuck,WR,Deebo Samuel,7.0,4.0
Damon,DEF,Houston Texans,,
Damon,DEF,Kansas City Chiefs,14.0,5.0
Damon,K,Matt Prater,13.0,9.0
Damon,QB,Justin Herbert,,
Damon,QB,Aaron Rodgers,8.0,5.0
Damon,RB,Giovani Bernard,,
Damon,RB,Raheem Mostert,10.0,5.0
Damon,RB,Alvin Kamara,1.0,5.0
Damon,RB,James Conner,2.0,5.0
Damon,RB,Myles Gaskin,,
Damon,TE,Travis Kelce,2.0,9.0
Damon,WR,Jarvis Landry,7.0,5.0
Damon,WR,Allen Robinson,4.0,5.0
Damon,WR,Amari Cooper,3.0,5.0
Damon,WR,Tyler Lockett,5.0,5.0
Damon,WR,Brandon Aiyuk,12.0,5.0
David,DEF,Washington Commanders,,
David,K,Justin Tucker,12.0,12.0
David,QB,Kirk Cousins,,
David,QB,Josh Allen,10.0,12.0
David,RB,Latavius Murray,7.0,12.0
David,RB,Kenyan Drake,6.0,12.0
David,RB,Zack Moss,8.0,12.0
David,TE,Zach Ertz,5.0,8.0
David,TE,Austin Hooper,8.0,4.0
David,TE,Hayden Hurst,8.0,10.0
David,TE,Mike Gesicki,14.0,12.0
David,TE,Cole Kmet,,
