Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Marvin Mims,WR,DEN,14,8,,Mike,
Sam LaPorta,TE,DET,14,7,,Damon,Damon
Green Bay Packers,DEF,GB,14,6,,David,
Tyjae Spears,RB,TEN,14,5,,Chuck,Damon
Younghoe Koo,K,ATL,14,4,,Pat,
Taysom Hill,TE,NO,14,3,,Greg,Pat
Jonathan Mingo,WR,CAR,14,2,,Rhodes,
Chuba Hubbard,RB,CAR,14,1,,Chris,Chris
Michael Gallup,WR,DAL,15,1,,Chris,
Bryce Young,QB,CAR,15,2,,Rhodes,
Jayden Reed,WR,GB,15,3,,Greg,Damon
Deuce Vaughn,RB,DAL,15,4,,Pat,
New England Patriots,DEF,NE,15,5,,Chuck,
Tyler Higbee,TE,LAR,15,6,,David,
Jacksonville Jaguars,DEF,JAX,15,7,,Damon,Rhodes
Roschon Johnson,RB,CHI,15,8,,Mike,
Luke Musgrave,TE,GB,15,9,,Mike,
Kenneth Gainwell,RB,PHI,15,10,,Stephen,Stephen
Devin Singletary,RB,HOU,15,11,,Eric,Rhodes
Zack Moss,RB,IND,15,12,,Justin,Chuck
Jason Sanders,K,MIA,16,12,,Justin,Stephen
Chase Brown,RB,CIN,16,11,,Eric,Mike
Zay Jones,WR,JAX,16,10,,Stephen,Jono
Seattle Seahawks,DEF,SEA,16,9,,Jono,Jono
Justin Fields,QB,CHI,16,8,True,Mike,Mike
Riley Patterson,K,DET,16,7,,Damon,
Clyde Edwards-Helaire,RB,KC,16,6,,David,Eric
Kyler Murray,QB,ARI,16,5,,Chuck,Chuck
Romeo Doubs,WR,GB,16,4,,Pat,
Jake Elliott,K,PHI,16,3,,Greg,Greg
Brandon McManus,K,JAX,16,2,,Rhodes,
Jimmy Garoppolo,QB,LV,16,1,,Chris,
