Player,Position,Team,Round,Draft Slot,Keeper,Picked By,Owner
Davante Adams,WR,LV,1,1,True,Chris,Chris
Christian McCaffrey,RB,SF,1,2,,Rhodes,Jono
Bijan Robinson,RB,ATL,1,3,,Greg,Greg
Justin Jefferson,WR,MIN,1,4,,Pat,Pat
Austin Ekeler,RB,LAC,1,5,,Chuck,Chuck
Nick Chubb,RB,CLE,1,6,,David,David
Ja'Marr Chase,WR,CIN,1,7,,Damon,Damon
Saquon Barkley,RB,NYG,1,8,,Pat,Pat
Derrick Henry,RB,TEN,1,9,,Jono,Jono
Josh Jacobs,RB,LV,1,10,,Stephen,Stephen
Stefon Diggs,WR,BUF,1,11,,Eric,Eric
Tony Pollard,RB,DAL,1,12,,Justin,Justin
Travis Kelce,TE,KC,2,12,,Justin,Justin
CeeDee Lamb,WR,DAL,2,11,,Eric,Eric
Jahmyr Gibbs,RB,DET,2,10,,Stephen,Stephen
Tyreek Hill,WR,MIA,2,9,True,Jono,Jono
A.J. Brown,WR,PHI,2,8,,Mike,Justin
Amon-Ra St. Brown,WR,DET,2,7,,Damon,Damon
Joe Mixon,RB,CIN,2,6,,David,David
Calvin Ridley,WR,JAX,2,5,,Chuck,Chuck
Travis Etienne,RB,JAX,2,4,,Pat,Pat
Josh Allen,QB,BUF,2,3,,Greg,Greg
Najee Harris,RB,PIT,2,2,,Rhodes,Jono
Jalen Hurts,QB,PHI,2,1,,Chris,Chris
Aaron Jones,RB,GB,3,1,,Chris,Chris
Tee Higgins,WR,CIN,3,2,,Rhodes,Rhodes
Kenneth Walker,RB,SEA,3,3,,Greg,Greg
Deebo Samuel,WR,SF,3,4,,Pat,Pat
George Kittle,TE,SF,3,5,,Chuck,Chuck
DK Metcalf,WR,SEA,3,6,,David,David
Jaylen Waddle,WR,MIA,3,7,,Damon,Damon
Alexander Mattison,RB,MIN,3,8,,Mike,Mike
Cooper Kupp,WR,LAR,3,9,,Pat,Pat
Keenan Allen,WR,LAC,3,10,,Stephen,Stephen
Patrick Mahomes,QB,KC,3,11,True,Eric,Eric
Jonathan Taylor,RB,IND,3,12,,Justin,Justin
Breece Hall,RB,NYJ,4,12,True,Justin,Justin
Dameon Pierce,RB,HOU,4,11,,Eric,Eric
Brandon Aiyuk,WR,SF,4,10,,Stephen,Stephen
Amari Cooper,WR,CLE,4,9,,Jono,Rhodes
Miles Sanders,RB,CAR,4,8,,Jono,Damon
J.K. Dobbins,RB,BAL,4,7,,Damon,
DJ Moore,WR,CHI,4,6,,David,David
Alvin Kamara,RB,NO,4,5,,Chuck,Chuck
Darren Waller,TE,NYG,4,4,,Mike,Mike
Drake London,WR,ATL,4,3,,Greg,Greg
D'Andre Swift,RB,PHI,4,2,,Rhodes,Chuck
Terry McLaurin,WR,WAS,4,1,,Chris,Chris
Dallas Goedert,TE,PHI,5,1,,Chris,David
Mike Williams,WR,LAC,5,2,,Rhodes,
Dalvin Cook,RB,NYJ,5,3,,Greg,
Lamar Jackson,QB,BAL,5,4,,Pat,Pat
Mark Andrews,TE,BAL,5,5,,Chuck,Chuck
James Conner,RB,ARI,5,6,,Chuck,Chuck
Justin Herbert,QB,LAC,5,7,,Damon,Damon
Tyler Lockett,WR,SEA,5,8,,Mike,Mike
Isiah Pacheco,RB,KC,5,9,,Jono,Jono
DeAndre Hopkins,WR,TEN,5,10,,Stephen,
Javonte Williams,RB,DEN,5,11,,Eric,Eric
Mike Evans,WR,TB,5,12,,Justin,Justin
Christian Watson,WR,GB,6,12,,Justin,Justin
Kyle Pitts,TE,ATL,6,11,,Eric,Eric
T.J. Hockenson,TE,MIN,6,10,True,Stephen,Stephen
George Pickens,WR,PIT,6,9,,Chuck,Chuck
Chris Godwin,WR,TB,6,8,,Mike,Mike
Cam Akers,RB,LAR,6,7,,Damon,
Rachaad White,RB,TB,6,6,,David,David
Michael Pittman,WR,IND,6,5,,Chuck,Chuck
James Cook,RB,BUF,6,4,,Pat,Pat
Christian Kirk,WR,JAX,6,3,,Greg,Greg
Joe Burrow,QB,CIN,6,2,True,Rhodes,Chuck
David Montgomery,RB,DET,6,1,,Chris,Chris
Evan Engram,TE,JAX,7,1,,Chris,Chris
Jordan Addison,WR,MIN,7,2,,Rhodes,Rhodes
DeVonta Smith,WR,PHI,7,3,True,Greg,Greg
Brian Robinson,RB,WAS,7,4,,Pat,Pat
Khalil Herbert,RB,CHI,7,5,,Chuck,Rhodes
Jerry Jeudy,WR,DEN,7,6,,David,David
Rhamondre Stevenson,RB,NE,7,7,True,Damon,Damon
Rashaad Penny,RB,PHI,7,8,,Mike,
Pat Freiermuth,TE,PIT,7,9,,Jono,
Zach Charbonnet,RB,SEA,7,10,,Stephen,Eric
Diontae Johnson,WR,PIT,7,11,,Eric,Eric
Jahan Dotson,WR,WAS,7,12,,Justin,Justin
Gabe Davis,WR,BUF,8,12,,Justin,Justin
Marquise Brown,WR,ARI,8,11,,Eric,Eric
Aaron Rodgers,QB,NYJ,8,10,,Stephen,
Tua Tagovailoa,QB,MIA,8,9,,Jono,Jono
Elijah Mitchell,RB,SF,8,8,,Mike,
Antonio Gibson,RB,WAS,8,7,,Damon,Mike
Dalton Kincaid,TE,BUF,8,6,,David,Jono
Zay Flowers,WR,BAL,8,5,,Chuck,Chuck
Chris Olave,WR,NO,8,4,True,Pat,Pat
David Njoku,TE,CLE,8,3,,Greg,Greg
Brandin Cooks,WR,DAL,8,2,,Rhodes,Chuck
AJ Dillon,RB,GB,8,1,,Chris,Chris
Jamaal Williams,RB,NO,9,1,,Chris,
Kadarius Toney,WR,KC,9,2,,Rhodes,
Raheem Mostert,RB,MIA,9,3,,Greg,Greg
Ezekiel Elliott,RB,NE,9,4,,Pat,Pat
San Francisco 49ers,DEF,SF,9,5,,Chuck,Chuck
Kirk Cousins,QB,MIN,9,6,,David,
Jaxon Smith-Njigba,WR,SEA,9,7,,Damon,Eric
Michael Thomas,WR,NO,9,8,,Mike,
Allen Lazard,WR,NYJ,9,9,,Jono,David
Odell Beckham,WR,BAL,9,10,,Stephen,Mike
Samaje Perine,RB,DEN,9,11,,Eric,
Courtland Sutton,WR,DEN,9,12,,Justin,Mike
De'Von Achane,RB,MIA,10,12,,Justin,Mike
Treylon Burks,WR,TEN,10,11,,Eric,
Damien Harris,RB,BUF,10,10,,Stephen,
Jaylen Warren,RB,PIT,10,9,,Jono,Rhodes
Tank Bigsby,RB,JAX,10,8,,Mike,
Tyler Allgeier,RB,ATL,10,7,,Damon,Damon
Deshaun Watson,QB,CLE,10,6,,David,David
JuJu Smith-Schuster,WR,NE,10,5,,Jono,
Dak Prescott,QB,DAL,10,4,,Jono,Chuck
Skyy Moore,WR,KC,10,3,,Greg,
Quentin Johnston,WR,LAC,10,2,,Rhodes,
Daniel Carlson,K,LV,10,1,,Chris,Chris
Philadelphia Eagles,DEF,PHI,11,1,,Chris,Greg
New York Jets,DEF,NYJ,11,2,,Rhodes,Justin
Pittsburgh Steelers,DEF,PIT,11,3,,Greg,Chris
Chigoziem Okonkwo,TE,TEN,11,4,,Pat,Stephen
Kendre Miller,RB,NO,11,5,,Chuck,
Garrett Wilson,WR,NYJ,11,6,True,David,David
Anthony Richardson,QB,IND,11,7,,Damon,Damon
Evan McPherson,K,CIN,11,8,,Mike,Mike
Jerick McKinnon,RB,KC,11,9,,Jono,Jono
Dallas Cowboys,DEF,DAL,11,10,,Stephen,Stephen
Buffalo Bills,DEF,BUF,11,11,,Eric,Eric
Deon Jackson,RB,IND,11,12,,Justin,
Jameson Williams,WR,DET,12,12,,Justin,Rhodes
Justin Tucker,K,BAL,12,11,,Eric,Eric
Adam Thielen,WR,CAR,12,10,,Stephen,Stephen
Jakobi Meyers,WR,LV,12,9,,Jono,Rhodes
New Orleans Saints,DEF,NO,12,8,,Mike,Mike
Rashod Bateman,WR,BAL,12,7,,Damon,
Elijah Moore,WR,CLE,12,6,,David,David
Dalton Schultz,TE,HOU,12,5,,David,David
Washington Commanders,DEF,WAS,12,4,,Pat,
Tyler Boyd,WR,CIN,12,3,,Greg,Greg
Cole Kmet,TE,CHI,12,2,,Rhodes,Jono
Darnell Mooney,WR,CHI,12,1,,Chris,
Rashid Shaheed,WR,NO,13,1,,Chris,Jono
Juwan Johnson,TE,NO,13,2,,Rhodes,
Kareem Hunt,RB,,13,3,,Greg,Greg
Brock Purdy,QB,SF,13,4,,Pat,Pat
Trevor Lawrence,QB,JAX,13,5,True,Chuck,
Harrison Butker,K,KC,13,6,,David,David
Rashee Rice,WR,KC,13,7,,Damon,Damon
Daniel Jones,QB,NYG,13,8,,Mike,
Baltimore Ravens,DEF,BAL,13,9,,Jono,Jono
Geno Smith,QB,SEA,13,10,,Stephen,Stephen
D'Onta Foreman,RB,CHI,13,11,,Eric,
Denver Broncos,DEF,DEN,13,12,,Justin,Pat
Jared Goff,QB,DET,14,12,,Justin,Rhodes
Van Jefferson,WR,LAR,14,11,,Eric,
Tyler Bass,K,BUF,14,10,,Stephen,Pat
Jason Myers,K,SEA,14,9,,Jono,Rhodes
